split,node_id,rows,lstm_mae,lstm_rmse,lstm_r2,baseline_mae,baseline_rmse,baseline_r2,better_model
test,Node1,19,4.436426162719727,8.227027893066406,0.7164011493332023,14.086345672607422,16.88434600830078,-0.19450248396214143,LSTM
test,Node2,19,7.712957859039307,13.196351051330566,0.2838239226358761,14.697214126586914,16.888608932495117,-0.17300488810209536,LSTM
train,Node1,82,3.895151376724243,5.536228179931641,0.805727771582857,11.114910125732422,13.03475284576416,-0.07693215852273627,LSTM
train,Node2,82,4.677999019622803,6.768940448760986,0.7421469716200934,11.682246208190918,13.404848098754883,-0.011240920704593593,LSTM
validation,Node1,20,5.260591506958008,8.250137329101562,0.5482747664193459,13.903343200683594,14.814607620239258,-0.45657337699036127,LSTM
validation,Node2,20,6.6283135414123535,9.704838752746582,0.7283924034938769,13.026544570922852,18.658052444458008,-0.00391713944409533,LSTM
test,Overall,38,6.0746917724609375,10.99608325958252,0.49814987411613565,14.391779899597168,16.8864803314209,-0.18352175736519794,LSTM
train,Overall,164,4.286574840545654,6.183380126953125,0.7734965233398627,11.398577690124512,13.221095085144043,-0.035518473751984914,LSTM
validation,Overall,40,5.94445276260376,9.006904602050781,0.6896852803994917,13.464944839477539,16.846298217773438,-0.0855759539962988,LSTM
