epoch,train_loss,validation_loss
1,0.964267339025225,1.7488924264907837
2,0.9260847100189754,1.6945339441299438
3,0.8736797911780221,1.6364903450012207
4,0.8284905914749418,1.575852632522583
5,0.7744185903242656,1.5120956897735596
6,0.7517103723117283,1.4397951364517212
7,0.702974796295166,1.3776813745498657
8,0.6770638908658709,1.3239991664886475
9,0.6556821188756398,1.277072548866272
10,0.6222937596695763,1.2471855878829956
11,0.5962413251399994,1.2224470376968384
12,0.5917233015809741,1.2077265977859497
13,0.5725621900388173,1.1984575986862183
14,0.5479242971965245,1.184539794921875
15,0.5269149648291724,1.1451871395111084
16,0.4995895592229707,1.125275731086731
17,0.4915338158607483,1.1104546785354614
18,0.46685042870896204,1.1135197877883911
19,0.4488869862897055,1.0764023065567017
20,0.42781718926770346,1.055050015449524
21,0.42460533337933676,1.0541465282440186
22,0.40901451877185274,1.0282846689224243
23,0.3836232178977558,1.000402569770813
24,0.38888500205108095,0.9895161986351013
25,0.3585655391216278,0.9670496582984924
26,0.3686016627720424,0.9897559881210327
27,0.36300250249249594,0.9803959727287292
28,0.34292865438120707,0.9419538974761963
29,0.31883913172142847,0.9188047647476196
30,0.34960416704416275,0.9232498407363892
31,0.3478073648044041,0.9285226464271545
32,0.33914547732898165,0.9128609895706177
33,0.32700072335345404,0.9042476415634155
34,0.31164268936429707,0.8869321346282959
35,0.31379962659307886,0.8641445636749268
36,0.31011088298899786,0.867121696472168
37,0.32675099479300634,0.8776159882545471
38,0.30061590671539307,0.8808982372283936
39,0.3205948791333607,0.8659552931785583
40,0.2935077558670725,0.854145884513855
41,0.3051727297050612,0.8350226879119873
42,0.278612736080374,0.8317140936851501
43,0.28618759555476053,0.8457711338996887
44,0.2869474227939333,0.8336973786354065
45,0.2637341831411634,0.836663544178009
46,0.2893323004245758,0.8184078335762024
47,0.2626703583768436,0.8139232993125916
48,0.28525808666433605,0.8177729249000549
49,0.2823007617677961,0.8242328763008118
50,0.26604069024324417,0.811303973197937
51,0.28162843734025955,0.8098127841949463
52,0.28058535179921557,0.8082456588745117
53,0.2618576543671744,0.7978861927986145
54,0.2778455338307789,0.8047692179679871
55,0.2691523778651442,0.8105284571647644
56,0.2573396329368864,0.8044813275337219
57,0.26268219096320017,0.7982609272003174
58,0.2696146326405661,0.8064984083175659
59,0.25599135139158796,0.8016139268875122
60,0.23613092941897257,0.8032503128051758
61,0.2554264877523695,0.7926082015037537
62,0.2716354514871325,0.8014163970947266
63,0.2615969255566597,0.788155734539032
64,0.2545393151896341,0.7842361927032471
65,0.24457931624991552,0.7763108015060425
66,0.24274609982967377,0.7839651107788086
67,0.2609028656567846,0.7819148302078247
68,0.25428202748298645,0.7855950593948364
69,0.2578308236386095,0.7757002115249634
70,0.2902959979006222,0.7782408595085144
71,0.24788732400962285,0.781196653842926
72,0.24598567294222967,0.7834942936897278
73,0.26549583673477173,0.7852237224578857
74,0.24113896382706507,0.7946870923042297
75,0.22828749673707144,0.7883775234222412
76,0.24650978935616358,0.7941825985908508
77,0.20974131460700715,0.7766392230987549
78,0.21834261662193707,0.7767819166183472
79,0.23200201562472753,0.7837778329849243
80,0.2234070205262729,0.7800365686416626
81,0.23356068027870996,0.8010210394859314
82,0.2341174249138151,0.8016968965530396
83,0.2134351847427232,0.7824039459228516
84,0.2337964405970914,0.773439347743988
85,0.21629043242761067,0.7829700112342834
86,0.2393864393234253,0.8082524538040161
87,0.21480586699077062,0.776581346988678
88,0.2328060194849968,0.7723883390426636
89,0.232383274606296,0.7846015691757202
90,0.1860928876059396,0.7901573777198792
91,0.2198123942528452,0.8004010319709778
92,0.20245454832911491,0.7653884887695312
93,0.21894837490149907,0.7690075039863586
94,0.21060991500105178,0.7978273630142212
95,0.2162718932543482,0.7925156354904175
96,0.21504336861627443,0.7848565578460693
97,0.2312291551913534,0.7637841105461121
98,0.22187452976192748,0.7728305459022522
99,0.1932954266667366,0.8028728365898132
100,0.20271560283643858,0.7730406522750854
101,0.1976714118250779,0.7750682830810547
102,0.19309345313480922,0.7904068231582642
103,0.19313172463859832,0.802769124507904
104,0.1978528414453779,0.7784660458564758
105,0.18628102860280446,0.7742004990577698
106,0.2160474115184375,0.7789047360420227
107,0.18365237755434854,0.8130237460136414
108,0.18515103948967798,0.7753697037696838
109,0.22429287327187403,0.784062385559082
110,0.18787716488753045,0.7917359471321106
111,0.19457821547985077,0.7974067330360413
112,0.2031962988632066,0.7868344783782959
113,0.18479710072278976,0.7805322408676147
114,0.1775891695703779,0.7911220788955688
115,0.19412968094859803,0.8214010000228882
116,0.18928632246596472,0.808081865310669
117,0.15644685391868865,0.7949956059455872
