node_id,model,epochs_trained,best_validation_loss,sequence_length_hours,forecast_horizon_hours,test_rows,train_mae,train_rmse,train_r2,validation_mae,validation_rmse,validation_r2,test_mae,test_rmse,test_r2,model_path
Node1,lstm,19,0.002581520238891244,12,2,490,2.144068717956543,4.891317844390869,0.8452201017105279,0.3564053773880005,0.6316934823989868,0.6704935846589204,3.04408597946167,7.694760322570801,0.8215843943628193,C:\Users\User\.thesis\gattio\Hydrologic Analysis V2\output\ml\models\node1_lstm_seq12_h2.pt
Node2,lstm,36,0.12733212113380432,12,2,498,3.3475043773651123,6.978847026824951,0.8619073504836556,3.767585277557373,6.701427936553955,0.762356674832831,4.9876322746276855,9.172774314880371,0.6495212142178381,C:\Users\User\.thesis\gattio\Hydrologic Analysis V2\output\ml\models\node2_lstm_seq12_h2.pt
