split,node_id,rows,lstm_mae,lstm_rmse,lstm_r2,baseline_mae,baseline_rmse,baseline_r2,better_model
test,Node1,25,7.727754592895508,11.331876754760742,0.7974223792503637,19.99247932434082,25.51019287109375,-0.02663296178967056,LSTM
test,Node2,25,8.895790100097656,13.437296867370605,0.4734057611661,14.608870506286621,18.605592727661133,-0.009576500645204211,LSTM
train,Node1,100,5.856511116027832,8.197265625,0.799735867736421,14.435445785522461,18.48259162902832,-0.018101116275474283,LSTM
train,Node2,100,7.346609115600586,9.80213451385498,0.7156302299888688,14.737116813659668,18.81134033203125,-0.047325344095404676,LSTM
validation,Node1,26,8.62039852142334,11.367170333862305,0.772211611705041,19.544336318969727,23.944631576538086,-0.010748611348012194,LSTM
validation,Node2,26,10.859070777893066,14.7769775390625,0.6181940229313763,16.798072814941406,24.627199172973633,-0.060477674505753365,LSTM
test,Overall,50,8.311773300170898,12.429247856140137,0.6892564369228236,17.300674438476562,22.326419830322266,-0.0026527762456074466,LSTM
train,Overall,200,6.601560115814209,9.035402297973633,0.7579597419806728,14.586281776428223,18.647689819335938,-0.03096215711902972,LSTM
validation,Overall,52,9.739734649658203,13.182785987854004,0.6964386106706789,18.17120361328125,24.288312911987305,-0.03044979806748116,LSTM
