split,node_id,rows,lstm_mae,lstm_rmse,lstm_r2,baseline_mae,baseline_rmse,baseline_r2,better_model
test,Node1,27,5.629196643829346,10.214842796325684,0.7124558859924701,13.121925354003906,19.17815589904785,-0.013572467377288344,LSTM
test,Node2,27,7.74518346786499,12.899035453796387,0.28932068187722093,12.444706916809082,15.310931205749512,-0.0012959248235377974,LSTM
train,Node1,106,3.5221896171569824,5.618317604064941,0.8308896346016329,9.794949531555176,13.73169994354248,-0.010197425441777819,LSTM
train,Node2,106,4.153895378112793,6.780449390411377,0.7687905314043325,10.47545051574707,14.343917846679688,-0.03472347833951339,LSTM
validation,Node1,28,5.950948238372803,10.675375938415527,0.6498359861673273,12.840001106262207,18.081851959228516,-0.004594744913213544,LSTM
validation,Node2,28,6.461440086364746,10.327077865600586,0.6869038049076974,11.900885581970215,18.96945571899414,-0.05641037297931195,LSTM
test,Overall,54,6.687191009521484,11.63460636138916,0.5494131003914671,12.783316612243652,17.352611541748047,-0.0023164761101550635,LSTM
train,Overall,212,3.8380422592163086,6.226555347442627,0.7992639798512695,10.135198593139648,14.041146278381348,-0.020786010370108965,LSTM
validation,Overall,56,6.2061944007873535,10.502671241760254,0.6712570878025299,12.370442390441895,18.530969619750977,-0.0234182419619946,LSTM
