epoch,train_loss,validation_loss
1,0.8526698270359555,0.935052216053009
2,0.3850290908201321,0.36951908469200134
3,0.2554429425178347,0.3676784336566925
4,0.2196439258829766,0.3959606885910034
5,0.2395678400187879,0.3445795476436615
6,0.20213417134977676,0.3522133231163025
7,0.21203213829446482,0.32274821400642395
8,0.20134414873413137,0.36526891589164734
9,0.19411835210347497,0.3359052836894989
10,0.1944509146584047,0.301436185836792
11,0.1994316241628415,0.30231866240501404
12,0.19293038672893434,0.3074290156364441
13,0.19220953948191694,0.32905253767967224
14,0.19155889241075194,0.31216391921043396
15,0.18989201252524918,0.3108060956001282
16,0.18839398585259914,0.2836444079875946
17,0.18717319337097374,0.3095656931400299
18,0.1868699869090641,0.33287155628204346
19,0.18447436221145294,0.34432488679885864
20,0.18234088271856308,0.31445086002349854
21,0.1788787804543972,0.28794074058532715
22,0.18772483234469955,0.3233727216720581
23,0.1809414488741675,0.29482829570770264
24,0.17533376430337494,0.2841978669166565
25,0.17775580478278366,0.28480949997901917
26,0.18303039871357582,0.30088484287261963
27,0.1768122835940606,0.2842520773410797
28,0.1753635073231684,0.3197924792766571
29,0.17468194744071444,0.3028614819049835
30,0.1898611535293025,0.3472130298614502
31,0.1739493696321104,0.2826520800590515
32,0.1688889460134748,0.31533122062683105
33,0.1666546665081704,0.3002922236919403
34,0.17646230273955577,0.3305727243423462
35,0.16809526668559457,0.3051822781562805
36,0.16830583669345928,0.3047979176044464
37,0.17636085845328667,0.3198527991771698
38,0.16482901402019165,0.3220376968383789
39,0.1645361574719081,0.33183181285858154
40,0.1649152929517063,0.33935844898223877
41,0.16629684897693428,0.36780545115470886
42,0.18506963379882477,0.3516111373901367
43,0.17128897322392142,0.3531571626663208
44,0.1670296125718065,0.34890028834342957
45,0.1743360721581691,0.32615140080451965
46,0.16573876404278987,0.32574525475502014
