epoch,train_loss,validation_loss
1,0.8675939159260856,0.7989946007728577
2,0.32605911998285186,0.4199720323085785
3,0.17332948102719253,0.28803160786628723
4,0.13207210646942258,0.23270195722579956
5,0.11403831627426876,0.2290116250514984
6,0.11089010065835384,0.22813282907009125
7,0.10572780798085862,0.19721369445323944
8,0.10662989240760605,0.20050932466983795
9,0.10289923857069677,0.19620706140995026
10,0.1017932587613662,0.22042155265808105
11,0.10117230057302448,0.20801015198230743
12,0.10175959072593185,0.1814528852701187
13,0.09853172322942151,0.20796532928943634
14,0.09918640714345707,0.20508234202861786
15,0.09791787242930797,0.20264755189418793
16,0.09887830183530848,0.21282483637332916
17,0.09951076967020829,0.21743565797805786
18,0.09900592849589884,0.2196417599916458
19,0.09990261955600646,0.1890105903148651
20,0.09830647339630458,0.1982412487268448
21,0.09896915923390123,0.2171836942434311
22,0.0977660159373449,0.19363631308078766
23,0.09638807612160842,0.21616241335868835
24,0.09673628449026081,0.21274295449256897
25,0.09501536780347426,0.1968197375535965
26,0.09719034418877628,0.19673947989940643
27,0.0968884104448888,0.2207263857126236
